# route_trace v1
# model=/home/scribe/models/unsloth/Qwen3.6-35B-A3B-GGUF/Qwen3.6-35B-A3B-JEV-Q5K-nonexpert.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8
# layer=0 expert_bytes=1769472 dense_bytes=28009216
# layer=1 expert_bytes=1769472 dense_bytes=28009216
# layer=2 expert_bytes=1769472 dense_bytes=28009216
# layer=3 expert_bytes=1769472 dense_bytes=24143872
# layer=4 expert_bytes=1769472 dense_bytes=28009216
# layer=5 expert_bytes=1769472 dense_bytes=28009216
# layer=6 expert_bytes=1769472 dense_bytes=28009216
# layer=7 expert_bytes=1769472 dense_bytes=24143872
# layer=8 expert_bytes=1769472 dense_bytes=28009216
# layer=9 expert_bytes=1769472 dense_bytes=28009216
# layer=10 expert_bytes=1769472 dense_bytes=28009216
# layer=11 expert_bytes=1769472 dense_bytes=24143872
# layer=12 expert_bytes=1769472 dense_bytes=28009216
# layer=13 expert_bytes=1769472 dense_bytes=28009216
# layer=14 expert_bytes=1769472 dense_bytes=28009216
# layer=15 expert_bytes=1769472 dense_bytes=24143872
# layer=16 expert_bytes=1769472 dense_bytes=28009216
# layer=17 expert_bytes=1769472 dense_bytes=28009216
# layer=18 expert_bytes=1769472 dense_bytes=28009216
# layer=19 expert_bytes=1769472 dense_bytes=24143872
# layer=20 expert_bytes=1769472 dense_bytes=28009216
# layer=21 expert_bytes=1769472 dense_bytes=28009216
# layer=22 expert_bytes=1769472 dense_bytes=28009216
# layer=23 expert_bytes=1769472 dense_bytes=24143872
# layer=24 expert_bytes=1769472 dense_bytes=28009216
# layer=25 expert_bytes=1769472 dense_bytes=28009216
# layer=26 expert_bytes=1769472 dense_bytes=28009216
# layer=27 expert_bytes=1769472 dense_bytes=24143872
# layer=28 expert_bytes=1769472 dense_bytes=28009216
# layer=29 expert_bytes=1769472 dense_bytes=28009216
# layer=30 expert_bytes=1769472 dense_bytes=28009216
# layer=31 expert_bytes=1769472 dense_bytes=24143872
# layer=32 expert_bytes=1769472 dense_bytes=28009216
# layer=33 expert_bytes=1769472 dense_bytes=28009216
# layer=34 expert_bytes=2039808 dense_bytes=28009216
# layer=35 expert_bytes=1769472 dense_bytes=24143872
# layer=36 expert_bytes=1769472 dense_bytes=28009216
# layer=37 expert_bytes=1769472 dense_bytes=28009216
# layer=38 expert_bytes=2039808 dense_bytes=28009216
# layer=39 expert_bytes=2039808 dense_bytes=24143872
turn,phase,step,layer,slot,expert,weight,residency,expert_bytes,dropped
0,0,16,0,0,36,0.199862,0,1769472,0
0,0,16,0,1,134,0.1889,0,0,0
0,0,16,0,2,31,0.11111,0,1769472,0
0,0,16,0,3,124,0.108178,0,0,0
0,0,16,0,4,170,0.106153,0,1769472,0
0,0,16,0,5,231,0.103767,0,0,0
0,0,16,0,6,62,0.0949989,0,0,0
0,0,16,0,7,94,0.0870319,0,1769472,0
0,0,17,0,0,142,0.241646,0,1769472,0
0,0,17,0,1,166,0.179573,0,1769472,0
0,0,17,0,2,113,0.121956,0,1769472,0
0,0,17,0,3,123,0.115333,0,0,0
0,0,17,0,4,97,0.10588,0,1769472,0
0,0,17,0,5,150,0.0972654,0,1769472,0
0,0,17,0,6,205,0.0751863,0,1769472,0
0,0,17,0,7,215,0.0631592,0,1769472,0
0,0,18,0,0,148,0.184837,0,1769472,0
0,0,18,0,1,191,0.171782,0,1769472,0
0,0,18,0,2,254,0.169356,0,0,0
0,0,18,0,3,120,0.149507,0,0,0
0,0,18,0,4,6,0.0920761,0,1769472,0
0,0,18,0,5,8,0.0831325,0,1769472,0
0,0,18,0,6,207,0.0777792,0,1769472,0
0,0,18,0,7,16,0.07153,0,1769472,0
0,0,19,0,0,170,0.155229,0,0,0
0,0,19,0,1,41,0.151555,0,1769472,0
0,0,19,0,2,62,0.127344,0,0,0
0,0,19,0,3,73,0.121002,0,1769472,0
0,0,19,0,4,48,0.11758,0,1769472,0
0,0,19,0,5,2,0.116685,0,0,0
0,0,19,0,6,222,0.108343,0,1769472,0
0,0,19,0,7,81,0.102262,0,0,0
0,0,20,0,0,142,0.29178,0,0,0
0,0,20,0,1,166,0.167372,0,0,0
0,0,20,0,2,150,0.148392,0,0,0
0,0,20,0,3,97,0.125755,0,0,0
0,0,20,0,4,113,0.103628,0,0,0
0,0,20,0,5,215,0.0596089,0,0,0
0,0,20,0,6,205,0.0545689,0,0,0
0,0,20,0,7,123,0.0488961,0,0,0
0,0,21,0,0,254,0.163037,0,0,0
0,0,21,0,1,148,0.156163,0,0,0
0,0,21,0,2,207,0.142907,0,0,0
0,0,21,0,3,120,0.125149,0,0,0
0,0,21,0,4,191,0.114513,0,0,0
0,0,21,0,5,6,0.103764,0,0,0
0,0,21,0,6,8,0.101471,0,0,0
0,0,21,0,7,60,0.0929944,0,1769472,0
0,0,22,0,0,62,0.149702,0,0,0
0,0,22,0,1,170,0.146075,0,0,0
0,0,22,0,2,94,0.128556,0,0,0
0,0,22,0,3,161,0.125081,0,1769472,0
0,0,22,0,4,199,0.117288,0,1769472,0
0,0,22,0,5,23,0.116217,0,1769472,0
0,0,22,0,6,48,0.110447,0,0,0
0,0,22,0,7,70,0.106634,0,0,0
0,0,23,0,0,142,0.204428,0,0,0
0,0,23,0,1,166,0.175794,0,0,0
0,0,23,0,2,150,0.160278,0,0,0
0,0,23,0,3,97,0.130972,0,0,0
0,0,23,0,4,113,0.104109,0,0,0
0,0,23,0,5,215,0.0874266,0,0,0
0,0,23,0,6,123,0.0780939,0,0,0
0,0,23,0,7,205,0.058897,0,0,0
0,0,24,0,0,207,0.165266,0,0,0
0,0,24,0,1,254,0.133075,0,0,0
0,0,24,0,2,8,0.126644,0,0,0
0,0,24,0,3,60,0.121581,0,0,0
0,0,24,0,4,147,0.121147,0,0,0
0,0,24,0,5,148,0.120194,0,0,0
0,0,24,0,6,120,0.108636,0,0,0
0,0,24,0,7,191,0.103458,0,0,0
0,0,25,0,0,170,0.159019,0,0,0
0,0,25,0,1,94,0.155411,0,0,0
0,0,25,0,2,203,0.147962,0,1769472,0
0,0,25,0,3,124,0.127662,0,0,0
0,0,25,0,4,223,0.107326,0,1769472,0
0,0,25,0,5,38,0.104044,0,0,0
0,0,25,0,6,48,0.103336,0,0,0
0,0,25,0,7,62,0.0952393,0,0,0
0,0,26,0,0,142,0.243495,0,0,0
0,0,26,0,1,166,0.172715,0,0,0
0,0,26,0,2,150,0.156163,0,0,0
0,0,26,0,3,215,0.114321,0,0,0
0,0,26,0,4,97,0.10456,0,0,0
0,0,26,0,5,113,0.0956636,0,0,0
0,0,26,0,6,205,0.0575782,0,0,0
0,0,26,0,7,213,0.0555044,0,0,0
0,0,27,0,0,120,0.175486,0,0,0
0,0,27,0,1,207,0.16435,0,0,0
0,0,27,0,2,148,0.154225,0,0,0
0,0,27,0,3,254,0.123314,0,0,0
0,0,27,0,4,191,0.106912,0,0,0
0,0,27,0,5,6,0.104466,0,0,0
0,0,27,0,6,16,0.0870252,0,0,0
0,0,27,0,7,8,0.084222,0,0,0
0,0,28,0,0,223,0.181392,0,0,0
0,0,28,0,1,170,0.138346,0,0,0
0,0,28,0,2,2,0.137857,0,0,0
0,0,28,0,3,29,0.126074,0,0,0
0,0,28,0,4,41,0.109982,0,0,0
0,0,28,0,5,65,0.108701,0,0,0
0,0,28,0,6,73,0.103221,0,0,0
0,0,28,0,7,48,0.0944275,0,0,0
0,0,29,0,0,123,0.237712,0,0,0
0,0,29,0,1,249,0.166848,0,0,0
0,0,29,0,2,196,0.160954,0,0,0
0,0,29,0,3,229,0.128853,0,0,0
0,0,29,0,4,105,0.109832,0,0,0
0,0,29,0,5,216,0.079523,0,0,0
0,0,29,0,6,7,0.0670136,0,0,0
0,0,29,0,7,16,0.0492646,0,0,0
0,0,30,0,0,130,0.181087,0,1769472,0
0,0,30,0,1,137,0.177498,0,1769472,0
0,0,30,0,2,103,0.17316,0,1769472,0
0,0,30,0,3,201,0.12872,0,1769472,0
0,0,30,0,4,16,0.113049,0,0,0
0,0,30,0,5,248,0.0786774,0,1769472,0
0,0,30,0,6,213,0.0775092,0,0,0
0,0,30,0,7,32,0.0702991,0,0,0
0,0,31,0,0,81,0.389759,0,0,0
0,0,31,0,1,235,0.164308,0,0,0
0,0,31,0,2,115,0.105377,0,0,0
0,0,31,0,3,47,0.0888449,0,0,0
0,0,31,0,4,177,0.065155,0,1769472,0
0,0,31,0,5,86,0.0637353,0,0,0
0,0,31,0,6,158,0.063352,0,1769472,0
0,0,31,0,7,187,0.0594692,0,0,0
0,0,32,0,0,54,0.162805,0,1769472,0
0,0,32,0,1,193,0.162534,0,0,0
0,0,32,0,2,44,0.139768,0,1769472,0
0,0,32,0,3,21,0.134158,0,0,0
0,0,32,0,4,156,0.115324,0,1769472,0
0,0,32,0,5,38,0.107843,0,0,0
0,0,32,0,6,176,0.0956868,0,1769472,0
0,0,32,0,7,53,0.0818817,0,1769472,0
0,0,33,0,0,43,0.215325,0,0,0
0,0,33,0,1,30,0.158121,0,0,0
0,0,33,0,2,139,0.13616,0,1769472,0
0,0,33,0,3,238,0.133082,0,0,0
0,0,33,0,4,173,0.0990122,0,0,0
0,0,33,0,5,95,0.0975942,0,0,0
0,0,33,0,6,200,0.0876359,0,0,0
0,0,33,0,7,112,0.0730695,0,0,0
0,0,34,0,0,81,0.460822,0,0,0
0,0,34,0,1,115,0.135387,0,0,0
0,0,34,0,2,187,0.0834716,0,0,0
0,0,34,0,3,235,0.0791408,0,0,0
0,0,34,0,4,208,0.0781086,0,1769472,0
0,0,34,0,5,192,0.0579217,0,0,0
0,0,34,0,6,86,0.0552161,0,0,0
0,0,34,0,7,79,0.049932,0,0,0
0,0,35,0,0,57,0.187971,0,1769472,0
0,0,35,0,1,43,0.173752,0,0,0
0,0,35,0,2,88,0.120404,0,1769472,0
0,0,35,0,3,157,0.112462,0,1769472,0
0,0,35,0,4,56,0.109576,0,0,0
0,0,35,0,5,238,0.103264,0,0,0
0,0,35,0,6,236,0.098267,0,0,0
0,0,35,0,7,112,0.094304,0,0,0
0,0,36,0,0,180,0.494436,0,1769472,0
0,0,36,0,1,70,0.121194,0,0,0
0,0,36,0,2,231,0.114727,0,0,0
0,0,36,0,3,73,0.0657935,0,0,0
